iter	Passed	Remaining
422	1989	2713
423	1993	2707
424	1998	2704
425	2002	2698
426	2006	2692
427	2010	2686
428	2015	2682
429	2019	2676
430	2023	2670
431	2027	2665
432	2031	2660
433	2035	2654
434	2039	2648
435	2044	2644
436	2048	2639
437	2052	2633
438	2057	2628
439	2062	2624
440	2066	2619
441	2070	2614
442	2075	2609
443	2079	2603
444	2083	2598
445	2087	2592
446	2092	2588
447	2096	2583
448	2100	2577
449	2105	2573
450	2110	2569
451	2114	2564
452	2119	2558
453	2124	2555
454	2128	2549
455	2132	2544
456	2137	2539
457	2141	2534
458	2145	2529
459	2149	2523
460	2154	2518
461	2158	2513
462	2162	2508
463	2166	2502
464	2170	2497
465	2174	2492
466	2178	2486
467	2182	2480
468	2187	2476
469	2191	2471
470	2194	2465
471	2198	2459
472	2204	2455
473	2207	2450
474	2211	2444
475	2215	2439
476	2220	2434
477	2223	2428
478	2227	2422
479	2231	2417
480	2236	2413
481	2240	2407
482	2244	2402
483	2249	2397
484	2253	2392
485	2258	2388
486	2263	2383
487	2268	2379
488	2272	2374
489	2277	2369
490	2282	2366
491	2287	2361
492	2291	2356
493	2296	2352
494	2301	2347
495	2305	2342
496	2309	2337
497	2314	2332
498	2317	2327
499	2321	2321
500	2325	2316
501	2330	2311
502	2333	2306
503	2337	2300
504	2341	2295
505	2346	2290
506	2349	2285
507	2353	2279
508	2357	2274
509	2362	2269
510	2366	2264
511	2370	2259
512	2374	2254
513	2379	2249
514	2382	2244
515	2386	2238
516	2390	2233
517	2394	2228
518	2398	2222
519	2402	2217
520	2406	2212
521	2410	2207
522	2414	2201
523	2418	2196
524	2421	2191
525	2426	2186
526	2430	2181
527	2434	2175
528	2438	2170
529	2442	2165
530	2446	2160
531	2449	2155
532	2453	2149
533	2458	2145
534	2462	2139
535	2465	2134
536	2469	2129
537	2474	2124
538	2478	2119
539	2481	2114
540	2485	2109
541	2490	2104
542	2493	2098
543	2497	2093
544	2501	2088
545	2506	2083
546	2510	2078
547	2513	2073
548	2517	2068
549	2522	2063
550	2526	2058
551	2530	2053
552	2534	2048
553	2538	2043
554	2542	2038
555	2546	2033
556	2550	2028
557	2554	2023
558	2558	2018
559	2562	2013
560	2566	2008
561	2570	2003
562	2574	1998
563	2578	1993
564	2582	1988
565	2586	1983
566	2591	1978
567	2595	1973
568	2599	1968
569	2603	1963
570	2607	1959
571	2611	1953
572	2615	1948
573	2618	1943
574	2623	1938
575	2627	1933
576	2631	1928
577	2634	1923
578	2639	1919
579	2643	1914
580	2647	1909
581	2651	1904
582	2655	1899
583	2659	1894
584	2663	1889
585	2666	1884
586	2671	1879
587	2675	1874
588	2679	1869
589	2683	1864
590	2687	1860
591	2691	1855
592	2696	1850
593	2701	1846
594	2705	1841
595	2710	1837
596	2714	1832
597	2719	1828
598	2723	1823
599	2728	1818
600	2733	1814
601	2737	1809
602	2740	1804
603	2744	1799
604	2749	1795
605	2753	1790
606	2757	1785
607	2761	1780
608	2765	1775
609	2769	1770
610	2773	1765
611	2777	1760
612	2781	1756
613	2785	1751
614	2789	1746
615	2793	1741
616	2797	1736
617	2801	1731
618	2805	1726
619	2809	1721
620	2813	1717
621	2817	1712
622	2821	1707
623	2825	1702
624	2830	1698
625	2834	1693
626	2838	1688
627	2842	1683
628	2846	1679
629	2850	1674
630	2854	1669
631	2858	1664
632	2862	1659
633	2866	1654
634	2870	1649
635	2875	1645
636	2879	1640
637	2882	1635
638	2886	1630
639	2891	1626
640	2895	1621
641	2899	1616
642	2902	1611
643	2907	1607
644	2911	1602
645	2914	1597
646	2918	1592
647	2923	1587
648	2926	1582
649	2930	1578
650	2934	1573
651	2938	1568
652	2942	1563
653	2946	1558
654	2950	1553
655	2954	1549
656	2958	1544
657	2961	1539
658	2965	1534
659	2969	1529
660	2973	1525
661	2977	1520
662	2981	1515
