iter	Logloss
0	0.6814402327
1	0.6731827053
2	0.6619833603
3	0.6515833076
4	0.6420066613
5	0.6318162076
6	0.6234705651
7	0.6143410115
8	0.6068385232
9	0.5995193689
10	0.5913533455
11	0.583329727
12	0.5761048142
13	0.5698844911
14	0.562416219
15	0.5560585094
16	0.5497551549
17	0.5431331327
18	0.5373691896
19	0.5322322841
20	0.5272881628
21	0.5220314352
22	0.5177895296
23	0.5127089018
24	0.5084244377
25	0.5035861262
26	0.5006557793
27	0.4968438583
28	0.4939524528
29	0.4906091318
30	0.4870356493
31	0.4841726922
32	0.4797869154
33	0.4762809204
34	0.4718228984
35	0.4688858712
36	0.4659088598
37	0.4636950343
38	0.4601090711
39	0.4577363843
40	0.4541720913
41	0.4510878364
42	0.4484152847
43	0.4449754412
44	0.4417005201
45	0.4384408172
46	0.4360751366
47	0.4339816872
48	0.4322204941
49	0.4287765121
50	0.426694631
51	0.4250594516
52	0.4233146497
53	0.4213998419
54	0.4192581964
55	0.4168387474
56	0.4145211651
57	0.4136473792
58	0.4118185682
59	0.4100317618
60	0.4075821047
61	0.4054883946
62	0.4040411114
63	0.4029567814
64	0.4018570378
65	0.3996862922
66	0.397364995
67	0.3955212266
68	0.39381025
69	0.3925604761
70	0.391011652
71	0.3891820916
72	0.3879227372
73	0.3864279748
74	0.3843175802
75	0.3829506238
76	0.3816228694
77	0.3801088482
78	0.3783371295
79	0.3766595545
80	0.3754543921
81	0.3742715518
82	0.3730526704
83	0.3713476572
84	0.3702110903
85	0.3688655109
86	0.3672395861
87	0.366331421
88	0.3654786863
89	0.3644406623
90	0.3632763314
91	0.3622562628
92	0.3609593357
93	0.3597785158
94	0.3584970023
95	0.3574594345
96	0.3562765942
97	0.3552255354
98	0.3536710738
99	0.3527557722
100	0.3517938713
101	0.3508612334
102	0.3497395262
103	0.348185032
104	0.3466206965
105	0.3459327865
106	0.3443950745
107	0.3429706999
108	0.3420575164
109	0.34136814
110	0.3407507481
111	0.340017086
112	0.3398425178
