iter	Logloss
0	0.633113037
1	0.5848540132
2	0.5532728485
3	0.5246335991
4	0.5031615837
5	0.4800902345
6	0.4608618617
7	0.4522236863
8	0.4405650938
9	0.4237442432
10	0.4087358123
11	0.4003900395
12	0.3891730324
13	0.38139349
14	0.3733312234
15	0.3657389907
16	0.3594830175
17	0.3528562051
18	0.3487237591
19	0.3436173549
20	0.3392996522
21	0.3343960691
22	0.3264527774
23	0.3207448511
24	0.3136505141
25	0.3104370845
26	0.3058886012
27	0.3022851062
28	0.2986139932
29	0.2937323411
30	0.2898516617
31	0.2872441861
32	0.2837415802
33	0.2810197245
34	0.2789509434
35	0.2767075941
36	0.2739974697
37	0.270210054
38	0.2673585186
39	0.2625650631
40	0.2593260365
41	0.2558866329
42	0.2539177634
43	0.2512986542
44	0.2464842616
45	0.2460054781
46	0.2440638675
47	0.2418869141
48	0.2394081406
49	0.2377317876
50	0.2363499226
51	0.2343364089
52	0.2330999306
53	0.2317553287
54	0.2303594677
55	0.228622226
56	0.2275632486
57	0.22461726
58	0.2232093092
59	0.2206530929
60	0.2186293469
61	0.2160679329
62	0.2150755469
63	0.212601417
64	0.2103781087
65	0.2068254167
66	0.2055846531
67	0.2036942692
68	0.2019052469
69	0.2010533268
70	0.1991883118
71	0.197150749
72	0.1947208069
73	0.1911441472
74	0.1889617029
75	0.188340482
76	0.1866925285
77	0.185328733
78	0.1841904065
79	0.1822759245
80	0.1801338554
81	0.1788779552
82	0.1777344799
83	0.1761176469
84	0.1751419128
85	0.1727537309
86	0.1711318796
87	0.1695789332
88	0.1679497661
89	0.1663437031
90	0.1643097085
91	0.1629431757
92	0.1612903667
93	0.1598724769
94	0.1583965172
95	0.156792719
96	0.155129971
97	0.1539954734
98	0.1530184684
99	0.151751228
100	0.1502011982
101	0.1483782855
102	0.1477512152
103	0.1460822431
104	0.145100562
105	0.1439246953
106	0.1430275609
107	0.1417769234
108	0.140682964
109	0.1385479988
110	0.1375636292
111	0.1368059506
112	0.1356415871
113	0.133813436
114	0.1332074902
115	0.1326038907
116	0.1320492368
117	0.1309595136
118	0.1293079267
119	0.127914143
120	0.1263962847
121	0.1254880951
122	0.1243720743
123	0.1240773663
124	0.1232131121
125	0.1220996657
126	0.1207520333
127	0.1196713204
128	0.1185673812
129	0.1179765314
130	0.1167597844
131	0.1158809231
132	0.1147322746
133	0.1140540021
134	0.1130770786
135	0.1123211108
136	0.1112561537
137	0.1103502616
138	0.1095154741
139	0.1089602091
140	0.1079954732
141	0.1068375211
142	0.1059155799
143	0.1053906941
144	0.1042305262
145	0.1029517989
146	0.1023824808
147	0.1016722568
148	0.1013852801
149	0.1007323928
150	0.1000457944
151	0.09973430412
152	0.09886612319
153	0.09828551376
154	0.09709402163
155	0.0962290994
156	0.0956247178
157	0.09466283316
158	0.09387748006
159	0.09317573687
160	0.09253273976
161	0.09185514348
162	0.09122114037
163	0.09055868071
164	0.09022821668
165	0.08933952229
166	0.08863188086
167	0.08797233774
168	0.08796899758
169	0.0874419692
170	0.08667418045
171	0.08632191576
172	0.08574660985
173	0.0850928672
174	0.08445143427
175	0.08384668607
176	0.08333399593
177	0.08290288718
178	0.08225639512
179	0.08135564356
180	0.08075922947
181	0.07993017729
182	0.07959416534
183	0.079312932
184	0.07891092337
185	0.07819901306
186	0.07719397519
187	0.07687375159
188	0.07626120697
189	0.07603794578
190	0.07575800778
191	0.07533291946
192	0.07487566784
193	0.07444693792
194	0.07424827172
195	0.07404061152
196	0.07347715096
197	0.07315664223
198	0.07236813635
199	0.07133514703
